StoreNo,Date,Time,Millisecond,Uac-1,Uac-2,Uac-3,Uac-4,Uac-5,Uac-6,Uac-SIGMA,Uac-SIGMB,Uac-SIGMC,Iac-1,Iac-2,Iac-3,Iac-4,Iac-5,Iac-6,Iac-SIGMA,Iac-SIGMB,Iac-SIGMC,P-1,P-2,P-3,P-4,P-5,P-6,P-SIGMA,P-SIGMB,P-SIGMC,S-1,S-2,S-3,S-4,S-5,S-6,S-SIGMA,S-SIGMB,S-SIGMC,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-SIGMA,Q-SIGMB,Q-SIGMC,PF-1,PF-2,PF-3,PF-4,PF-5,PF-6,PF-SIGMA,PF-SIGMB,PF-SIGMC,Phi-1,Phi-2,Phi-3,Phi-4,Phi-5,Phi-6,Phi-SIGMA,Phi-SIGMB,Phi-SIGMC,FreqU-1,FreqU-2,FreqU-3,FreqU-4,FreqU-5,FreqU-6,FreqI-1,FreqI-2,FreqI-3,FreqI-4,FreqI-5,FreqI-6,Uthd-1,Uthd-2,Uthd-3,Uthd-4,Uthd-5,Uthd-6,Ithd-1,Ithd-2,Ithd-3,Ithd-4,Ithd-5,Ithd-6,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,MeasureMode,DisplayMode,IntegrateMode,UpdateRate
19,2026/07/21,09:34:09,347,501.847 ,501.683 ,501.045 ,123.233 ,122.894 ,123.064 ,501.525 ,123.064 ,NAN,0.60287E+03,0.60404E+03,0.60452E+03,1.39210E+03,1.39135E+03,1.39434E+03,0.60381E+03,1.39260E+03,NAN,279.533E+03,240.338E+03,40.066E+03,171.124E+03,170.568E+03,171.199E+03,519.871E+03,512.891E+03,NAN,302.546E+03,303.035E+03,302.891E+03,171.552E+03,170.988E+03,171.594E+03,524.507E+03,514.134E+03,NAN,-115.739E+03,184.575E+03,-300.230E+03,12.117E+03,11.985E+03,11.623E+03,68.836E+03,35.725E+03,NAN,0.92393 ,0.79310 ,0.13228 ,0.99750 ,0.99754 ,0.99770 ,0.99116 ,0.99758 ,NAN,-22.492 ,37.524 ,-82.399 ,4.050 ,4.019 ,3.884 ,7.623 ,3.985 ,NAN,59.995 ,59.995 ,59.995 ,59.997 ,60.001 ,59.994 ,59.995 ,59.995 ,59.995 ,59.995 ,59.994 ,59.996 ,1.776 ,1.804 ,1.902 ,1.961 ,2.169 ,2.034 ,1.452 ,1.489 ,1.556 ,1.538 ,1.448 ,1.565 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
24,2026/07/21,09:34:59,488,502.169 ,502.024 ,501.414 ,123.309 ,122.983 ,123.147 ,501.869 ,123.146 ,NAN,0.60283E+03,0.60405E+03,0.60452E+03,1.39203E+03,1.39129E+03,1.39437E+03,0.60380E+03,1.39256E+03,NAN,279.692E+03,240.530E+03,40.104E+03,171.219E+03,170.683E+03,171.318E+03,520.222E+03,513.220E+03,NAN,302.721E+03,303.246E+03,303.114E+03,171.650E+03,171.105E+03,171.712E+03,524.858E+03,514.467E+03,NAN,-115.813E+03,184.671E+03,-300.449E+03,12.158E+03,12.004E+03,11.629E+03,68.858E+03,35.790E+03,NAN,0.92392 ,0.79318 ,0.13231 ,0.99749 ,0.99754 ,0.99770 ,0.99117 ,0.99758 ,NAN,-22.493 ,37.516 ,-82.397 ,4.062 ,4.023 ,3.883 ,7.621 ,3.990 ,NAN,59.989 ,59.990 ,59.988 ,59.990 ,59.986 ,59.991 ,59.989 ,59.989 ,59.989 ,59.989 ,59.989 ,59.989 ,1.773 ,1.829 ,1.919 ,1.988 ,2.191 ,2.057 ,1.448 ,1.512 ,1.604 ,1.562 ,1.450 ,1.605 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
26,2026/07/21,09:35:19,545,502.147 ,501.961 ,501.364 ,123.301 ,122.966 ,123.126 ,501.824 ,123.131 ,NAN,0.60294E+03,0.60405E+03,0.60441E+03,1.39202E+03,1.39155E+03,1.39413E+03,0.60380E+03,1.39257E+03,NAN,279.725E+03,240.455E+03,40.062E+03,171.212E+03,170.696E+03,171.262E+03,520.180E+03,513.170E+03,NAN,302.762E+03,303.212E+03,303.028E+03,171.637E+03,171.113E+03,171.653E+03,524.813E+03,514.404E+03,NAN,-115.840E+03,184.713E+03,-300.369E+03,12.068E+03,11.948E+03,11.587E+03,68.873E+03,35.603E+03,NAN,0.92391 ,0.79303 ,0.13220 ,0.99753 ,0.99756 ,0.99772 ,0.99117 ,0.99760 ,NAN,-22.496 ,37.531 ,-82.403 ,4.032 ,4.004 ,3.870 ,7.619 ,3.969 ,NAN,59.993 ,59.994 ,59.995 ,59.994 ,59.994 ,59.992 ,59.994 ,59.994 ,59.993 ,59.994 ,59.994 ,59.994 ,1.777 ,1.812 ,1.934 ,1.957 ,2.190 ,2.007 ,1.451 ,1.429 ,1.565 ,1.566 ,1.404 ,1.526 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
88,2026/07/21,09:45:39,802,503.313 ,502.948 ,502.685 ,123.840 ,123.562 ,123.641 ,502.982 ,123.681 ,NAN,0.54130E+03,0.54246E+03,0.54287E+03,1.24982E+03,1.24922E+03,1.25202E+03,0.54221E+03,1.25035E+03,NAN,250.386E+03,218.597E+03,32.520E+03,154.458E+03,154.054E+03,154.514E+03,468.982E+03,463.026E+03,NAN,272.444E+03,272.830E+03,272.895E+03,154.777E+03,154.356E+03,154.801E+03,472.370E+03,463.935E+03,NAN,-107.391E+03,163.254E+03,-270.951E+03,9.932E+03,9.658E+03,9.423E+03,55.863E+03,29.013E+03,NAN,0.91903 ,0.80122 ,0.11917 ,0.99794 ,0.99804 ,0.99815 ,0.99283 ,0.99804 ,NAN,-23.215 ,36.753 ,-83.156 ,3.679 ,3.587 ,3.490 ,6.866 ,3.586 ,NAN,59.990 ,59.991 ,59.990 ,59.990 ,59.991 ,59.990 ,59.990 ,59.991 ,59.990 ,59.990 ,59.990 ,59.990 ,1.717 ,1.768 ,1.873 ,1.916 ,2.106 ,1.984 ,1.612 ,1.627 ,1.806 ,1.765 ,1.562 ,1.772 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
89,2026/07/21,09:45:49,803,503.556 ,503.285 ,503.011 ,123.902 ,123.642 ,123.725 ,503.284 ,123.756 ,NAN,0.54134E+03,0.54245E+03,0.54281E+03,1.24976E+03,1.24932E+03,1.25188E+03,0.54220E+03,1.25032E+03,NAN,250.509E+03,218.759E+03,32.522E+03,154.534E+03,154.169E+03,154.607E+03,469.268E+03,463.309E+03,NAN,272.595E+03,273.008E+03,273.040E+03,154.848E+03,154.468E+03,154.889E+03,472.644E+03,464.205E+03,NAN,-107.487E+03,163.333E+03,-271.096E+03,9.854E+03,9.611E+03,9.347E+03,55.846E+03,28.812E+03,NAN,0.91898 ,0.80129 ,0.11911 ,0.99797 ,0.99806 ,0.99818 ,0.99286 ,0.99807 ,NAN,-23.223 ,36.746 ,-83.159 ,3.648 ,3.567 ,3.460 ,6.851 ,3.559 ,NAN,60.001 ,60.003 ,60.001 ,60.001 ,60.004 ,60.003 ,60.003 ,60.003 ,60.003 ,60.002 ,60.002 ,60.003 ,1.719 ,1.746 ,1.881 ,1.898 ,2.083 ,1.901 ,1.532 ,1.569 ,1.635 ,1.622 ,1.534 ,1.638 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
96,2026/07/21,09:46:59,807,503.650 ,503.217 ,503.150 ,123.922 ,123.678 ,123.708 ,503.339 ,123.769 ,NAN,0.54130E+03,0.54242E+03,0.54289E+03,1.24985E+03,1.24917E+03,1.25196E+03,0.54220E+03,1.25032E+03,NAN,250.565E+03,218.749E+03,32.472E+03,154.560E+03,154.189E+03,154.590E+03,469.314E+03,463.339E+03,NAN,272.627E+03,272.955E+03,273.155E+03,154.884E+03,154.495E+03,154.877E+03,472.698E+03,464.255E+03,NAN,-107.437E+03,163.257E+03,-271.218E+03,10.008E+03,9.712E+03,9.428E+03,55.820E+03,29.148E+03,NAN,0.91908 ,0.80141 ,0.11888 ,0.99791 ,0.99802 ,0.99815 ,0.99284 ,0.99803 ,NAN,-23.209 ,36.735 ,-83.173 ,3.705 ,3.604 ,3.490 ,6.859 ,3.601 ,NAN,59.984 ,59.985 ,59.985 ,59.984 ,59.985 ,59.986 ,59.985 ,59.985 ,59.986 ,59.985 ,59.985 ,59.986 ,1.711 ,1.777 ,1.868 ,1.935 ,2.115 ,1.988 ,1.607 ,1.642 ,1.703 ,1.692 ,1.619 ,1.713 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
119,2026/07/21,09:50:49,812,504.570 ,504.069 ,504.187 ,124.420 ,124.216 ,124.204 ,504.276 ,124.280 ,NAN,0.48151E+03,0.48250E+03,0.48293E+03,1.11165E+03,1.11100E+03,1.11341E+03,0.48231E+03,1.11202E+03,NAN,222.092E+03,196.785E+03,25.843E+03,138.089E+03,137.798E+03,138.097E+03,418.877E+03,413.984E+03,NAN,242.954E+03,243.212E+03,243.486E+03,138.311E+03,138.003E+03,138.290E+03,421.265E+03,414.604E+03,NAN,-98.497E+03,142.926E+03,-242.111E+03,7.823E+03,7.522E+03,7.310E+03,44.429E+03,22.655E+03,NAN,0.91413 ,0.80911 ,0.10614 ,0.99840 ,0.99851 ,0.99860 ,0.99433 ,0.99850 ,NAN,-23.917 ,35.991 ,-83.907 ,3.243 ,3.124 ,3.030 ,6.104 ,3.134 ,NAN,60.003 ,60.002 ,60.003 ,60.002 ,60.004 ,60.004 ,60.002 ,60.003 ,60.003 ,60.003 ,60.003 ,60.003 ,1.661 ,1.729 ,1.818 ,1.798 ,2.003 ,1.888 ,1.542 ,1.578 ,1.739 ,1.695 ,1.510 ,1.706 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
122,2026/07/21,09:51:19,811,504.765 ,504.179 ,504.386 ,124.476 ,124.273 ,124.239 ,504.443 ,124.329 ,NAN,0.48156E+03,0.48247E+03,0.48295E+03,1.11179E+03,1.11101E+03,1.11334E+03,0.48232E+03,1.11205E+03,NAN,222.209E+03,196.807E+03,25.798E+03,138.157E+03,137.848E+03,138.114E+03,419.016E+03,414.119E+03,NAN,243.076E+03,243.250E+03,243.591E+03,138.392E+03,138.068E+03,138.320E+03,421.417E+03,414.780E+03,NAN,-98.533E+03,142.960E+03,-242.221E+03,8.062E+03,7.796E+03,7.550E+03,44.427E+03,23.408E+03,NAN,0.91416 ,0.80907 ,0.10591 ,0.99830 ,0.99840 ,0.99851 ,0.99430 ,0.99841 ,NAN,-23.914 ,35.994 ,-83.921 ,3.340 ,3.237 ,3.129 ,6.119 ,3.236 ,NAN,60.012 ,60.009 ,60.011 ,60.015 ,60.011 ,60.011 ,60.011 ,60.011 ,60.010 ,60.013 ,60.011 ,60.010 ,1.660 ,1.757 ,1.834 ,1.827 ,2.083 ,1.935 ,1.677 ,1.731 ,1.782 ,1.769 ,1.684 ,1.795 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
124,2026/07/21,09:51:39,811,504.667 ,504.123 ,504.338 ,124.443 ,124.254 ,124.218 ,504.376 ,124.305 ,NAN,0.48148E+03,0.48251E+03,0.48295E+03,1.11162E+03,1.11095E+03,1.11350E+03,0.48231E+03,1.11202E+03,NAN,222.121E+03,196.838E+03,25.831E+03,138.107E+03,137.833E+03,138.121E+03,418.959E+03,414.061E+03,NAN,242.985E+03,243.245E+03,243.569E+03,138.333E+03,138.040E+03,138.317E+03,421.350E+03,414.689E+03,NAN,-98.509E+03,142.909E+03,-242.196E+03,7.891E+03,7.561E+03,7.357E+03,44.399E+03,22.809E+03,NAN,0.91413 ,0.80922 ,0.10605 ,0.99837 ,0.99850 ,0.99858 ,0.99433 ,0.99848 ,NAN,-23.917 ,35.980 ,-83.912 ,3.270 ,3.140 ,3.049 ,6.107 ,3.154 ,NAN,59.998 ,59.998 ,59.997 ,59.998 ,59.996 ,59.997 ,59.998 ,59.997 ,59.998 ,59.998 ,59.997 ,59.999 ,1.679 ,1.740 ,1.842 ,1.825 ,2.039 ,1.906 ,1.631 ,1.692 ,1.765 ,1.740 ,1.633 ,1.769 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
151,2026/07/21,09:56:09,806,504.649 ,504.128 ,504.152 ,124.572 ,124.344 ,124.354 ,504.310 ,124.423 ,NAN,0.45185E+03,0.45272E+03,0.45312E+03,1.04303E+03,1.04244E+03,1.04449E+03,0.45256E+03,1.04332E+03,NAN,207.857E+03,185.467E+03,22.806E+03,129.747E+03,129.447E+03,129.723E+03,393.324E+03,388.917E+03,NAN,228.027E+03,228.229E+03,228.439E+03,129.933E+03,129.621E+03,129.887E+03,395.309E+03,389.441E+03,NAN,-93.763E+03,133.006E+03,-227.298E+03,6.944E+03,6.725E+03,6.528E+03,39.243E+03,20.197E+03,NAN,0.91155 ,0.81263 ,0.09984 ,0.99857 ,0.99865 ,0.99874 ,0.99498 ,0.99865 ,NAN,-24.280 ,35.646 ,-84.270 ,3.064 ,2.974 ,2.881 ,5.744 ,2.974 ,NAN,60.007 ,60.010 ,60.008 ,60.007 ,60.010 ,60.008 ,60.008 ,60.009 ,60.009 ,60.009 ,60.008 ,60.008 ,1.655 ,1.771 ,1.858 ,1.747 ,2.064 ,1.916 ,1.617 ,1.651 ,1.737 ,1.725 ,1.603 ,1.714 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
153,2026/07/21,09:56:29,806,504.649 ,504.092 ,504.256 ,124.568 ,124.369 ,124.346 ,504.332 ,124.428 ,NAN,0.45183E+03,0.45271E+03,0.45310E+03,1.04297E+03,1.04242E+03,1.04448E+03,0.45255E+03,1.04329E+03,NAN,207.846E+03,185.494E+03,22.760E+03,129.740E+03,129.477E+03,129.717E+03,393.339E+03,388.934E+03,NAN,228.015E+03,228.207E+03,228.478E+03,129.920E+03,129.645E+03,129.877E+03,395.311E+03,389.442E+03,NAN,-93.759E+03,132.930E+03,-227.342E+03,6.844E+03,6.592E+03,6.428E+03,39.170E+03,19.865E+03,NAN,0.91155 ,0.81283 ,0.09961 ,0.99861 ,0.99871 ,0.99877 ,0.99501 ,0.99870 ,NAN,-24.280 ,35.626 ,-84.283 ,3.020 ,2.915 ,2.837 ,5.725 ,2.925 ,NAN,59.996 ,59.997 ,59.995 ,59.998 ,59.994 ,59.993 ,59.996 ,59.996 ,59.996 ,59.995 ,59.997 ,59.996 ,1.673 ,1.763 ,1.853 ,1.763 ,2.010 ,1.900 ,1.526 ,1.592 ,1.708 ,1.658 ,1.517 ,1.693 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
171,2026/07/21,09:59:29,801,504.254 ,503.810 ,503.854 ,124.474 ,124.267 ,124.276 ,503.973 ,124.339 ,NAN,0.45190E+03,0.45278E+03,0.45311E+03,1.04297E+03,1.04259E+03,1.04457E+03,0.45260E+03,1.04337E+03,NAN,207.709E+03,185.365E+03,22.826E+03,129.628E+03,129.376E+03,129.641E+03,393.074E+03,388.645E+03,NAN,227.872E+03,228.113E+03,228.303E+03,129.822E+03,129.559E+03,129.814E+03,395.073E+03,389.196E+03,NAN,-93.715E+03,132.949E+03,-227.159E+03,7.098E+03,6.886E+03,6.706E+03,39.234E+03,20.689E+03,NAN,0.91152 ,0.81260 ,0.09998 ,0.99850 ,0.99859 ,0.99866 ,0.99494 ,0.99859 ,NAN,-24.284 ,35.649 ,-84.262 ,3.134 ,3.047 ,2.961 ,5.767 ,3.048 ,NAN,60.009 ,60.012 ,60.010 ,60.010 ,60.008 ,60.010 ,60.011 ,60.010 ,60.009 ,60.012 ,60.007 ,60.010 ,1.700 ,1.760 ,1.914 ,1.819 ,2.105 ,1.914 ,1.868 ,1.939 ,1.955 ,1.937 ,1.897 ,1.986 ,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,1,1,1,1
